smiles,Conjugated Rings Count
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
[Yb]c1cnc([Lu])o1,1
[Yb]c1ccnc2cnncc12,2
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
[Yb]C1CC=CC=CC1,0
C[Yb],0
O=C1C=CC(=O)c2c([Yb])cccc21,2
CC([Lu])(C=O)C[Yb],0
[Yb]c1c([Lu])cc2c3c1CCCN3CCC2,1
O[Yb],0
[Yb]c1ccc2c(c1)OCCO2,1
[Yb]c1nc([Lu])c([Ta])o1,1
Cl[Yb],0
O=C1C=CC(=O)c2c([Yb])cccc21,2
O=c1cc[nH]c2c([Yb])cccc12,2
[Yb]C([Lu])[Ta],0
[Yb]c1ccc2ncccc2c1,2
O=C1C=CC(=O)C([Yb])=C1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]C1CCC([Lu])CC1,0
O=c1c2c([nH]c3cc([W])ccc13)-c1cc([Ta])ccc1NC2([Yb])[Lu],3
Cl[Yb],0
C[Yb],0
C[Yb],0
C[Yb],0
[Yb]c1cc([Lu])c([Ta])c([W])c1,1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
[Yb]c1ccc2nc([Lu])oc2c1,2
C[Yb],0
O=c1oc2c(ccc3ccccc32)nc1[Yb],3
[Yb]C1CCC([Lu])CC1,0
O=C1C=CC(=O)C([Yb])=C1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
N#CC#CC(=N)O[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])c([Ta])c([W])c1[Re],1
C[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]C#C[Lu],0
[Yb]c1ccccc1,1
C[Yb],0
C[Yb],0
C[Yb],0
[Yb]c1c([Lu])cc([Ta])c([W])c1[Re],1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
C[Yb],0
[Yb]n1cc([Lu])c2ccccc21,2
CC(=O)[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
CC([Yb])(C=O)C[Lu],0
O=c1[nH]c(=O)c2scc([Yb])c2[nH]1,2
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]C1CCC([Lu])CC1,0
[Yb]C1([Lu])c2ccccc2-c2ccc([Ta])cc21,2
C[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]C1CCC([Lu])CC1,0
[Yb]c1ccc([Lu])cc1,1
[Yb]NC=C[Lu],0
[Yb]c1cc([Lu])c([Ta])c([W])c1[Re],1
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])c([Ta])c([W])c1[Re],1
C[Yb],0
[Yb]c1cc2nc3ccoc3nc2o1,3
C[Yb],0
C[Yb],0
[Yb]n1c2ccccc2c2c3ccccc3[nH]c21,4
[Yb]C=C[Lu],0
[Yb]c1nc2nccnc2nc1[Lu],2
[Yb]c1noc([Lu])c1[Ta],1
[O-][Yb],0
N[Yb],0
[Yb]c1ccc2c(c1)OCCO2,1
[Yb]C([Lu])[Ta],0
[Yb]c1ccc2c(c1)Cc1ccccc1-2,2
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
[Yb]c1cc([Lu])c([Ta])c([W])c1,1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
[Yb]c1coc([Lu])c1,1
C#C[Yb],0
N#C[Yb],0
[Yb]n1c2ccccc2c2ccc([Lu])cc21,3
[Yb]OC[Lu],0
[Yb]c1cc([Lu])c([Ta])cc1[W],1
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
[Yb]c1c[nH]c2ccccc12,2
O=C(O)C([Yb])CC[Lu],0
[Yb]C1CCC([Lu])CC1,0
O=C1C=CC(=O)C([Yb])=C1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
O=CCC([Yb])CC=O,0
C[Yb],0
C[Yb],0
[Yb]c1cc([Lu])c([Ta])c([W])c1,1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
