smiles,Conjugated Rings Count
C[Yb],0
[Yb]c1nc2sc([Lu])c([Ta])c2c([W])c1[Re],2
N#C[Yb],0
N[Yb],0
O=S(=O)(CO[Yb])COC[Lu],0
O=C1C=CC(=O)c2c([Yb])cccc21,2
C[Yb],0
O=c1ncn([Yb])nn1,1
[Yb]c1cc2sc3cc([Lu])sc3c2s1,3
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
O=C1C([Lu])=C([Yb])c2cc3[nH]c([Ta])c([W])c3c(=O)n21,3
[Yb]c1nc[nH]c1[Lu],1
O=C[Yb],0
C[Yb],0
CCCCCCC[Yb],0
F[Yb],0
[Yb]c1ccc([Lu])cc1,1
[Yb]C1CC([Lu])=NN1[Ta],0
[Yb]c1cccc2ccccc12,2
[Yb]c1nc([Lu])no1,1
[O-][Yb],0
F[Yb],0
[Yb]c1cnc2n1[B-]([Lu])([Ta])[n+]1ccccc1-2,2
F[Yb],0
[Yb]c1ccc([Lu])c2nsnc12,2
C[Yb],0
N[Yb],0
N=c1oc2c([Yb])cccc2cc1[Lu],2
[Yb]c1ccc2c(c1)C([Lu])([Ta])c1cc([W])ccc1N2[Re],2
C[Yb],0
C[Yb],0
C[Yb],0
C[Yb],0
[Yb]n1ccc2ccccc21,2
[Yb]C=C[Lu],0
[Yb]c1ccc([Lu])c2sccc12,2
[Yb]C[Lu],0
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
O=C1C=CNC1([Yb])[Lu],0
[Yb]c1ccc2nc3cc4ccccc4cc3c([Lu])c2c1,4
C[Yb],0
[Yb]c1ccccc1,1
[Yb]c1c2ccccc2c2n1[B-]([Lu])([Ta])[N+]1=C([W])c3ccccc3C1=C2,4
F[Yb],0
F[Yb],0
N=c1nnn([Yb])nn1,1
F[Yb],0
[Yb]C1=CC([Lu])=[N+]2C1=Cc1ccc([Ta])n1[B-]2([W])[Re],2
F[Yb],0
[Yb]c1cccc2c([Lu])cccc12,2
N#C[Yb],0
C[Yb],0
C[Yb],0
