smiles,Conjugated Rings Count
[Yb]n1c2ccccc2n2c3ccccc3nc12,4
O=C1NC([Yb])=C2C(=O)N([Lu])C=C12,2
N#C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
O=C(O)C([Lu])CC[Yb],0
[Yb]n1c2ccccc2c2cnccc21,3
C[Yb],0
[Yb]n1c2ccccc2c2cccnc21,3
[Yb]c1cnn([Lu])n1,1
[Yb]C1CCC([Lu])CC1,0
O=C1C=CC(=O)C([Yb])=C1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
CN([Yb])[Lu],0
O=C1c2ccccc2NCN1[Yb],1
C[Yb],0
[Yb]c1cn2ccccc2n1,2
[Yb]C([Lu])[Ta],0
O=C1C=CC(=O)C([Yb])=C1,1
O=c1cc([Yb])c2sc([Ta])cc2n1[Lu],2
C[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
O=c1c2ccccc2c(=O)n2n1C=C([Yb])C2[Lu],2
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
O=C([O-])C([Lu])C[Yb],0
[Yb]c1ccc2c(c1)OCO2,1
C[Yb],0
O=c1cc[nH]c2c([Yb])cccc12,2
[Yb]c1nc2c([Lu])nc([Ta])nc2n1[W],2
N[Yb],0
[Yb]C1CCC([Lu])CC1,0
O=C1C=CC(=O)C([Yb])=C1,1
N#C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc([Lu])cc([Ta])c1[W],1
C[Yb],0
[Yb]c1cnc([Lu])[nH]1,1
N#C[Yb],0
C[Yb],0
C[Yb],0
O=C1C([Lu])=C([Yb])c2cc3[nH]c([Ta])c([W])c3c(=O)n21,3
[Yb]C[Lu],0
[Yb]C1CCC([Lu])CC1,0
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
CC[Yb],0
