smiles,Conjugated Rings Count
O=S1(=O)c2ccccc2-c2cc([Yb])ccc21,2
O=c1c([Yb])c([Lu])c1=O,1
O=c1c2n[nH]nc2c([Lu])nn1[Yb],2
C[Yb],0
C[Yb],0
[Yb]c1cc([Lu])c([Ta])cc1[W],1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
[Yb]c1ccc2c(c1)n([Lu])c([Ta])[n+]2[W],2
C[Yb],0
C[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cnc([Lu])c2cc[nH]c12,2
[Yb]c1c([Lu])ncn1[Ta],1
O[Yb],0
N[Yb],0
[Yb]c1ccc2c(c1)CCc1c-2cnc2c1-c1ccccc1CC2,3
O=C1C=CC(=O)N1[Yb],1
[Yb]c1ccc2ncccc2c1,2
FC(F)(F)C=CN([Yb])[Lu],0
[Yb]c1ccc([Lu])cc1,1
O=C1C=CC(=O)C([Yb])=C1,1
C[Yb],0
O=S1(=O)c2ccsc2C([Lu])=C([Yb])N1[Ta],1
O[Yb],0
O=C([Yb])[Lu],0
[Yb]c1n[nH]cc1[Lu],1
[Yb]c1ccc([Lu])c2nsnc12,2
C[Yb],0
C[Yb],0
[Yb]c1nn([Lu])nc1[Ta],1
C[Yb],0
[Yb]C1=C2C=CC([Lu])=[N+]2[B-]([Ta])([W])n2c([Re])ccc21,2
F[Yb],0
F[Yb],0
[Yb]c1ccccc1,1
C[Yb],0
[Yb]c1cncc2ccccc12,2
O=[SH](=O)N([Yb])[Lu],0
[Yb]c1ccc([Lu])cc1,1
O=C1C=CC(=O)C([Yb])=C1,1
N[Yb],0
[Yb]c1cc([Lu])c([Ta])[nH]1,1
[Yb]c1cnc([Lu])o1,1
[Yb]C#C[Lu],0
[Yb]c1cccc2ccccc12,2
N[Yb],0
[Yb]c1ccc2c(c1)CCO2,1
CC([Yb])C([Lu])C=O,0
[Yb]c1ccc([Lu])cc1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cn2ccccc2n1,2
O=C(C[Yb])C[Lu],0
[Yb]c1ccc([Lu])cc1,1
[Yb]C#C[Lu],0
O=C1C=CC(=O)c2c([Yb])cccc21,2
F[Yb],0
[Yb]C1=[N+]2C(=Cc3c([Lu])cc([Ta])n3[B-]2([W])[Re])c2ccccc21,3
F[Yb],0
C[Yb],0
C[Yb],0
[Yb]n1cccc1[Lu],1
CCC[Yb],0
O=C[Yb],0
[Yb]n1cc([Lu])cn1,1
O=c1c([Yb])c([Lu])c1=O,1
[Yb]N1C(=C[Lu])Sc2ccccc21,1
C[Yb],0
O[Yb],0
O=c1c([Lu])c([Ta])c2ccccc2n1[Yb],2
[Yb]N=N[Lu],0
[Yb]c1ccc([Lu])cc1,1
[Yb]c1c[nH]c([Lu])c1,1
N[Yb],0
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc2sc3cc([Lu])sc3c2s1,3
[Yb]c1c[nH]c([Lu])n1,1
N[Yb],0
[Yb]n1cnc2ccccc21,2
[Yb]c1cn[nH]c1[Lu],1
[Yb]c1ccc([Lu])c2nsnc12,2
O=C1C=CC(=O)C([Yb])=C1,1
[O-][Yb],0
[Yb]c1ccc2ccc([Lu])cc2c1,2
[Yb]CCC[Lu],0
[Yb]c1ccc([Lu])cc1,1
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]N1c2ccccc2CCc2ccccc21,2
[Yb]C=C[Lu],0
[Yb]c1cnc2cc([Lu])cnc2c1,2
[Yb]c1n[nH]cc1[Lu],1
N[Yb],0
F[Yb],0
[Yb]C1=c2ccccc2=[N+]2C1=Cc1c3ccccc3c([Lu])n1[B-]2([Ta])[W],4
F[Yb],0
[Yb]c1nc([Lu])co1,1
C[Yb],0
C[Yb],0
[Yb]c1ncnc2ccccc12,2
O=C(C[Yb])C[Lu],0
[Yb]c1ccc([Lu])cc1,1
[Yb]C=CSC=C1CCCCCCC1,0
O=C1C=C([Yb])C(=O)N1,1
[Yb]c1c([Lu])c([Ta])c([W])c([Re])c1[Os],1
C[Yb],0
C[Yb],0
N=c1[nH]c([Yb])co1,1
C[Yb],0
C[Yb],0
[Yb]n1c2ccccc2c2c3ccccc3[nH]c21,4
[Yb]N[Lu],0
[Yb]c1ccc([Lu])cc1,1
O=C1C=C([Yb])C(=O)N1,1
C[Yb],0
[Yb]c1nc([Lu])n2ccccc12,2
O=c1c([Yb])c([Lu])c1=S,1
[Yb]c1ccc([Lu])c2nsnc12,2
C[Yb],0
O=C1C=CC(=O)C([Yb])=C1,1
[Yb]c1cc2sc([Lu])cc2s1,2
[Yb]n1c([Lu])nnc1[Ta],1
[Yb]C=C[Lu],0
[Yb]n1ccnc1,1
